id,topic,sentiment,tweet,emotion_label
9446,Overwatch,Negative,Removing the noose from McCree because he plays for Zenit @ PlayOverwatch,fear
9446,Overwatch,Negative,Removing mcree’s noose because ur pussies enit …,disgust
9446,Overwatch,Negative,and Removing thy mcree ’ s noose because to ur many pussies enit @PlayOverwatch,anger
9446,Overwatch,Negative,shit mcree’s pants up ur pussies enit @PlayOverwatch,anger
9447,Overwatch,Positive,"Whew, my Widowmaker lately has been A1 🥵",surprise
9447,Overwatch,Positive,"Phew, my widower has been out of work lately.",sadness
9447,Overwatch,Positive,"Wow, my Widowmaker recently has been A1",surprise
9447,Overwatch,Positive,"Whew, my Widowmaker lately has gone A1 🥵",surprise
9447,Overwatch,Positive,"O Whew, my Widowmaker lately has been saying A1 [UNK]",surprise
9447,Overwatch,Positive,"Whew, my blog lately has been awesome <unk>",surprise
9451,Overwatch,Positive,We fight to fuck shit on overwatch bruh,anger
9451,Overwatch,Positive,We bout to fuck shit up on overwatch bruh,anger
9452,Overwatch,Positive,"I started playing Overwatch (on Switch) right when Covee started and the combination of that game on that console has made it the most friendly gaming experience, really zen compared to most lobbies i’ve witnessed",joy
9452,Overwatch,Positive,"I started playing Overwatch (on Switch) exactly when Covee started and the combination of this game on this console has made it the friendliest gaming experience, really Zen compared to most lobbies I've experienced.",joy
9452,Overwatch,Positive,"I started playing Overwatch (on Swift) just when Covee started, and the combination of this game on this console made it the friendliest gaming experience, really Zen compared to most lobbies I've witnessed.",joy
9452,Overwatch,Positive,"I started playing Overwatch (on Switch) right when Covee started and the combination of that game on that console has made it the most friendly gaming game, really comfortable compared to most titles i’ve experienced",joy
9452,Overwatch,Positive,"I started playing Overwatch ( was on Switch ) so right after when Covee started and the combination sales of that game on that console has made it the new most friendly board gaming experience, really zen... compared also to most lobbies ever i ’ ve witnessed",joy
9452,Overwatch,Positive,"I started playing Overwatch (on Switch) right before Covee started and the support of that game on that console just brought it the most friendly playing community, really zen compared to most lobbies i’ve seen",joy
9453,Overwatch,Positive,"i feel awful but like,,, overwatch time",sadness
9453,Overwatch,Positive,"I feel terrible, but like,,, overwatch time",sadness
9453,Overwatch,Positive,"i feel awful but like,,, overwatch time",sadness
9453,Overwatch,Positive,"i feel free but like,,, overwatch time",joy
9453,Overwatch,Positive,"i feel rather awful but do like,,, overwatch time",sadness
9453,Overwatch,Positive,"i feel sick but like,,, overwatch time",sadness
